"ResourceType","TerraformName","MicrosoftProvider","APIVersions","MappingSource","DocumentationPath"
"DataSource","azurerm_iothub_dps","Microsoft.Devices","2022-02-05","GeneratedAPISection","website/docs/d/iothub_dps.html.markdown"
"DataSource","azurerm_iothub_dps_shared_access_policy","Microsoft.Devices","2022-02-05","GeneratedAPISection","website/docs/d/iothub_dps_shared_access_policy.html.markdown"
"DataSource","azurerm_iothub_shared_access_policy","Microsoft.Devices","","MatchingResource:ARMImportID","website/docs/d/iothub_shared_access_policy.html.markdown"
"DataSource","azurerm_ip_group","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/ip_group.html.markdown"
"DataSource","azurerm_ip_groups","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/ip_groups.html.markdown"
"DataSource","azurerm_key_vault","Microsoft.KeyVault","2026-02-01","GeneratedAPISection","website/docs/d/key_vault.html.markdown"
"DataSource","azurerm_key_vault_access_policy","Microsoft.KeyVault","2026-02-01","MatchingResource:GeneratedAPISection","website/docs/d/key_vault_access_policy.html.markdown"
"DataSource","azurerm_key_vault_certificate","","","Unmapped","website/docs/d/key_vault_certificate.html.markdown"
"DataSource","azurerm_key_vault_certificate_data","","","Unmapped","website/docs/d/key_vault_certificate_data.html.markdown"
"DataSource","azurerm_key_vault_certificate_issuer","","","Unmapped","website/docs/d/key_vault_certificate_issuer.html.markdown"
"DataSource","azurerm_key_vault_certificates","","","Unmapped","website/docs/d/key_vault_certificates.html.markdown"
"DataSource","azurerm_key_vault_encrypted_value","","","Unmapped","website/docs/d/key_vault_encrypted_value.html.markdown"
"DataSource","azurerm_key_vault_key","","","Unmapped","website/docs/d/key_vault_key.html.markdown"
"DataSource","azurerm_key_vault_managed_hardware_security_module","Microsoft.KeyVault","2026-02-01","GeneratedAPISection","website/docs/d/key_vault_managed_hardware_security_module.html.markdown"
"DataSource","azurerm_key_vault_managed_hardware_security_module_key","Microsoft.KeyVault","2026-02-01","MatchingResource:GeneratedAPISection","website/docs/d/key_vault_managed_hardware_security_module_key.html.markdown"
"DataSource","azurerm_key_vault_managed_hardware_security_module_role_definition","","","Unmapped","website/docs/d/key_vault_managed_hardware_security_module_role_definition.html.markdown"
"DataSource","azurerm_key_vault_secret","","","Unmapped","website/docs/d/key_vault_secret.html.markdown"
"DataSource","azurerm_key_vault_secrets","","","Unmapped","website/docs/d/key_vault_secrets.html.markdown"
"DataSource","azurerm_kubernetes_automatic_cluster","Microsoft.ContainerService","2026-04-01","GeneratedAPISection","website/docs/d/kubernetes_automatic_cluster.html.markdown"
"DataSource","azurerm_kubernetes_cluster","Microsoft.ContainerService","2025-10-01","GeneratedAPISection","website/docs/d/kubernetes_cluster.html.markdown"
"DataSource","azurerm_kubernetes_cluster_node_pool","Microsoft.ContainerService","2025-10-01","GeneratedAPISection","website/docs/d/kubernetes_cluster_node_pool.html.markdown"
"DataSource","azurerm_kubernetes_fleet_manager","Microsoft.ContainerService","2024-04-01","GeneratedAPISection","website/docs/d/kubernetes_fleet_manager.html.markdown"
"DataSource","azurerm_kubernetes_node_pool_snapshot","Microsoft.ContainerService","2025-10-01","GeneratedAPISection","website/docs/d/kubernetes_node_pool_snapshot.html.markdown"
"DataSource","azurerm_kubernetes_service_versions","Microsoft.ContainerService","2019-08-01","GeneratedAPISection","website/docs/d/kubernetes_service_versions.html.markdown"
"DataSource","azurerm_kusto_cluster","Microsoft.Kusto","2024-04-13","GeneratedAPISection","website/docs/d/kusto_cluster.html.markdown"
"DataSource","azurerm_kusto_database","Microsoft.Kusto","2024-04-13","GeneratedAPISection","website/docs/d/kusto_database.html.markdown"
"DataSource","azurerm_lb","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/lb.html.markdown"
"DataSource","azurerm_lb_backend_address_pool","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/lb_backend_address_pool.html.markdown"
"DataSource","azurerm_lb_outbound_rule","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/lb_outbound_rule.html.markdown"
"DataSource","azurerm_lb_rule","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/lb_rule.html.markdown"
"DataSource","azurerm_linux_function_app","Microsoft.Web","2023-12-01","GeneratedAPISection","website/docs/d/linux_function_app.html.markdown"
"DataSource","azurerm_linux_web_app","Microsoft.Web","2023-12-01","GeneratedAPISection","website/docs/d/linux_web_app.html.markdown"
"DataSource","azurerm_load_test","Microsoft.LoadTestService","2022-12-01","GeneratedAPISection","website/docs/d/load_test.html.markdown"
"DataSource","azurerm_local_network_gateway","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/local_network_gateway.html.markdown"
"DataSource","azurerm_location","","","Unmapped","website/docs/d/location.html.markdown"
"DataSource","azurerm_log_analytics_workspace","Microsoft.OperationalInsights","2020-08-01","GeneratedAPISection","website/docs/d/log_analytics_workspace.html.markdown"
